country,country_slug,operator,price_mb_usd,price_gb_usd,policy,policy_reason,margin_10gb_100pct,margin_10gb_50pct,margin_3gb_100pct,breakage_score,region_hint
Afghanistan,afghanistan,Roshan Afghanistan,0.0056025,5.737,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-28.98,-0.29,1.18,0,global
Albania,albania,One Albania,0.0008505,0.8709,weconnect_breakage,10GB full-usage margin $19.68 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.68,24.04,15.78,80,europe-tier
Algeria,algeria,Orascom Algeria,0.00108,1.1059,weconnect_breakage,10GB full-usage margin $17.33 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.33,22.86,15.07,76,europe-tier
Andorra,andorra,Andorra Telecom,0.00243,2.4883,weconnect_breakage,10GB gate tight but 3GB full-usage margin $10.93; breakage on smaller plans only.,3.51,15.95,10.93,53,standard
Angola,angola,Unitel Angola,0.121095,124.0013,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1211.62,-591.62,-353.61,0,global
Anguilla,anguilla,Cable and Wireless Anguilla,0.006426,6.5802,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-37.41,-4.51,-1.35,5,caribbean
Antigua and Barbuda,antigua-and-barbuda,C & W Antigua and Barbuda,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Argentina,argentina,Movistar Argentina,0.002781,2.8477,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-0.09,14.15,9.85,5,south-america
Armenia,armenia,Vivacell Armenia,0.0012285,1.258,weconnect_breakage,10GB full-usage margin $15.81 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,15.81,22.1,14.62,73,europe-tier
Australia,australia,Optus Australia,0.001215,1.2442,weconnect_breakage,10GB full-usage margin $15.95 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,15.95,22.17,14.66,73,europe-tier
Austria,austria,A1 Austria,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Azerbaijan,azerbaijan,Azercell Azerbaijan,0.002187,2.2395,weconnect_breakage,10GB gate tight but 3GB full-usage margin $11.67; breakage on smaller plans only.,6.0,17.19,11.67,57,standard
Bahamas,bahamas,BTC (Bahamas Telecommunications Company),0.008532,8.7368,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-58.98,-15.29,-7.82,5,caribbean
Bahrain,bahrain,STC Bahrain,0.001404,1.4377,weconnect_breakage,10GB full-usage margin $14.01 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,14.01,21.2,14.08,70,europe-tier
Bangladesh,bangladesh,Banglalink Digital Communications,0.0010125,1.0368,weconnect_breakage,10GB full-usage margin $18.02 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,18.02,23.21,15.28,77,europe-tier
Barbados,barbados,C & W Barbados,0.0061425,6.2899,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-34.51,-3.06,-0.48,5,caribbean
Belarus,belarus,Unitary velcom Belarus,0.0017145,1.7556,weconnect_breakage,10GB full-usage margin $10.83 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.83,19.61,13.12,65,standard
Belgium,belgium,Telenet Belgium,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Belize,belize,Belize Telemedia,0.011367,11.6398,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-88.01,-29.81,-16.53,0,global
Benin,benin,Celtiis,0.0049545,5.0734,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.34,3.02,3.17,0,global
Bermuda,bermuda,Bermuda Digital Communication,0.019656,20.1277,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-172.89,-72.25,-41.99,5,caribbean
Bhutan,bhutan,TashiCell Bhutan,0.1833975,187.799,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1849.6,-910.61,-545.01,0,global
Bolivia,bolivia,Tigo Bolivia,0.0068175,6.9811,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-41.42,-6.52,-2.55,5,south-america
Bosnia and Herzegovina,bosnia-and-herzegovina,BH Telecom Bosnia & Herzegov,0.001755,1.7971,weconnect_breakage,10GB full-usage margin $10.42 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.42,19.4,13.0,64,standard
Brazil,brazil,TIM Brazil,0.002241,2.2948,telna_fixed,LatAm: prefer Telna fixed bundles until usage telemetry confirms breakage.,5.44,16.92,11.51,5,south-america
British Virgin Islands,british-virgin-islands,C&W LIME British Virgin Islands,0.0063045,6.4558,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-36.17,-3.89,-0.98,5,caribbean
Bulgaria,bulgaria,A1 Bulgeria,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Cambodia,cambodia,Metfone Cambodia,0.002322,2.3777,weconnect_breakage,10GB gate tight but 3GB full-usage margin $11.26; breakage on smaller plans only.,4.61,16.5,11.26,55,standard
Cameroon,cameroon,MTN Cameroon,0.096525,98.8416,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-960.03,-465.82,-278.13,0,global
Canada,canada,Freedom Mobile Canada,0.001998,2.046,weconnect_breakage,10GB full-usage margin $7.93 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,7.93,18.16,12.25,60,standard
Cape Verde,cape-verde,Alou Cape Verde,0.0110025,11.2666,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-84.28,-27.94,-15.41,0,global
Cayman Islands,cayman-islands,"LIME / Cable & Wirel,",0.006426,6.5802,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-37.41,-4.51,-1.35,5,caribbean
Chad,chad,Zain/Airtel/Celtel Chad,0.005481,5.6125,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-27.74,0.33,1.55,0,global
Chile,chile,WOM Chile,0.002322,2.3777,telna_fixed,LatAm: prefer Telna fixed bundles until usage telemetry confirms breakage.,4.61,16.5,11.26,5,south-america
China,china,China Telecom,0.0020655,2.1151,weconnect_breakage,10GB gate tight but 3GB full-usage margin $12.04; breakage on smaller plans only.,7.24,17.81,12.04,59,standard
Colombia,colombia,TIGO/Colombia Movil,0.0056835,5.8199,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-29.81,-0.71,0.93,5,south-america
"Congo Dem, Rep",congo-dem-rep,ZAIN Congo RDC,0.005481,5.6125,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-27.74,0.33,1.55,0,global
Congo Republic,congo-republic,Airtel Congo Rep,0.005562,5.6955,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-28.56,-0.09,1.3,0,global
Costa Rica,costa-rica,Telefonica Costa Rica,0.002781,2.8477,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-0.09,14.15,9.85,5,south-america
Croatia,croatia,VIPnet Croatia,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Cuba,cuba,Cubacel Cuba,0.0187785,19.2292,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-163.9,-67.76,-39.3,5,caribbean
Curacao,curacao,Polycom/Digicel Curacao,0.0187785,19.2292,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-163.9,-67.76,-39.3,5,caribbean
Cyprus,cyprus,Epic Cyprus,0.000702,0.7188,weconnect_breakage,10GB full-usage margin $21.20 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.2,24.8,16.23,82,europe-tier
Czech Republic,czech-republic,O2 Czech Republic,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Denmark,denmark,TDC/nuuday Denmark,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Dominica,dominica,C&W  Dominica,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Dominican Republic,dominican-republic,Claro Dominican Republic,0.007938,8.1285,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-52.9,-12.25,-6.0,5,caribbean
Ecuador,ecuador,Movistar Ecuador,0.002754,2.8201,telna_fixed,LatAm: prefer Telna fixed bundles until usage telemetry confirms breakage.,0.19,14.29,9.93,5,south-america
Egypt,egypt,Orange Egypt,0.001188,1.2165,weconnect_breakage,10GB full-usage margin $16.22 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.22,22.31,14.74,74,europe-tier
El Salvador,el-salvador,Telef El Salvador,0.0029025,2.9722,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1.33,13.53,9.47,5,south-america
Estonia,estonia,Elisa Estonia,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Eswatini,eswatini,Swazi MTN Limited,0.09828,100.6387,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-978.0,-474.8,-283.53,0,global
Ethiopia,ethiopia,Safaricom,0.0060615,6.207,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-33.68,-2.64,-0.23,0,global
Faroe Islands,faroe-islands,Vodafone Faroe Islands,0.0018495,1.8939,weconnect_breakage,10GB full-usage margin $9.45 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,9.45,18.92,12.71,63,standard
Fiji,fiji,Vodafone Fiji,0.001998,2.046,weconnect_breakage,10GB full-usage margin $7.93 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,7.93,18.16,12.25,60,standard
Finland,finland,Elisa Finland,0.0006615,0.6774,weconnect_breakage,10GB full-usage margin $21.62 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.62,25.0,16.36,83,europe-tier
France,france,Bouygues France,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
French Guiana,french-guiana,Bouygues/DigiCel French Guiana,0.00243,2.4883,weconnect_breakage,10GB gate tight but 3GB full-usage margin $10.93; breakage on smaller plans only.,3.51,15.95,10.93,53,standard
French Polynesia,french-polynesia,Vini S A S,0.0191295,19.5886,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-167.5,-69.55,-40.38,0,global
Gabon,gabon,ZAIN/Celtel Gabon,0.0051975,5.3222,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-24.83,1.78,2.42,0,global
Georgia,georgia,Mobitel Georgia,0.0011205,1.1474,weconnect_breakage,10GB full-usage margin $16.92 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.92,22.65,14.95,75,europe-tier
Germany,germany,O2 Germany,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Ghana,ghana,Airtel Ghana Limited,0.0021735,2.2257,weconnect_breakage,10GB gate tight but 3GB full-usage margin $11.71; breakage on smaller plans only.,6.13,17.26,11.71,57,standard
