country_slug,country,policy,price_gb_usd,plan,retail_usd,usage_pct,wholesale_usd,margin_usd
afghanistan,Afghanistan,catalog_cascade,5.737,1gb_5d,14.99,0.25,3.03,11.96
afghanistan,Afghanistan,catalog_cascade,5.737,1gb_5d,14.99,0.5,4.47,10.52
afghanistan,Afghanistan,catalog_cascade,5.737,1gb_5d,14.99,0.75,5.9,9.09
afghanistan,Afghanistan,catalog_cascade,5.737,1gb_5d,14.99,1.0,7.34,7.65
afghanistan,Afghanistan,catalog_cascade,5.737,3gb_7d,19.99,0.25,5.9,14.09
afghanistan,Afghanistan,catalog_cascade,5.737,3gb_7d,19.99,0.5,10.21,9.78
afghanistan,Afghanistan,catalog_cascade,5.737,3gb_7d,19.99,0.75,14.51,5.48
afghanistan,Afghanistan,catalog_cascade,5.737,3gb_7d,19.99,1.0,18.81,1.18
afghanistan,Afghanistan,catalog_cascade,5.737,10gb_15d,29.99,0.25,15.94,14.05
afghanistan,Afghanistan,catalog_cascade,5.737,10gb_15d,29.99,0.5,30.28,-0.29
afghanistan,Afghanistan,catalog_cascade,5.737,10gb_15d,29.99,0.75,44.63,-14.64
afghanistan,Afghanistan,catalog_cascade,5.737,10gb_15d,29.99,1.0,58.97,-28.98
albania,Albania,weconnect_breakage,0.8709,1gb_5d,14.99,0.25,1.82,13.17
albania,Albania,weconnect_breakage,0.8709,1gb_5d,14.99,0.5,2.04,12.95
albania,Albania,weconnect_breakage,0.8709,1gb_5d,14.99,0.75,2.25,12.74
albania,Albania,weconnect_breakage,0.8709,1gb_5d,14.99,1.0,2.47,12.52
albania,Albania,weconnect_breakage,0.8709,3gb_7d,19.99,0.25,2.25,17.74
albania,Albania,weconnect_breakage,0.8709,3gb_7d,19.99,0.5,2.91,17.08
albania,Albania,weconnect_breakage,0.8709,3gb_7d,19.99,0.75,3.56,16.43
albania,Albania,weconnect_breakage,0.8709,3gb_7d,19.99,1.0,4.21,15.78
albania,Albania,weconnect_breakage,0.8709,10gb_15d,29.99,0.25,3.78,26.21
albania,Albania,weconnect_breakage,0.8709,10gb_15d,29.99,0.5,5.95,24.04
albania,Albania,weconnect_breakage,0.8709,10gb_15d,29.99,0.75,8.13,21.86
albania,Albania,weconnect_breakage,0.8709,10gb_15d,29.99,1.0,10.31,19.68
algeria,Algeria,weconnect_breakage,1.1059,1gb_5d,14.99,0.25,1.88,13.11
algeria,Algeria,weconnect_breakage,1.1059,1gb_5d,14.99,0.5,2.15,12.84
algeria,Algeria,weconnect_breakage,1.1059,1gb_5d,14.99,0.75,2.43,12.56
algeria,Algeria,weconnect_breakage,1.1059,1gb_5d,14.99,1.0,2.71,12.28
algeria,Algeria,weconnect_breakage,1.1059,3gb_7d,19.99,0.25,2.43,17.56
algeria,Algeria,weconnect_breakage,1.1059,3gb_7d,19.99,0.5,3.26,16.73
algeria,Algeria,weconnect_breakage,1.1059,3gb_7d,19.99,0.75,4.09,15.9
algeria,Algeria,weconnect_breakage,1.1059,3gb_7d,19.99,1.0,4.92,15.07
algeria,Algeria,weconnect_breakage,1.1059,10gb_15d,29.99,0.25,4.36,25.63
algeria,Algeria,weconnect_breakage,1.1059,10gb_15d,29.99,0.5,7.13,22.86
algeria,Algeria,weconnect_breakage,1.1059,10gb_15d,29.99,0.75,9.89,20.1
algeria,Algeria,weconnect_breakage,1.1059,10gb_15d,29.99,1.0,12.66,17.33
andorra,Andorra,weconnect_breakage,2.4883,1gb_5d,14.99,0.25,2.22,12.77
andorra,Andorra,weconnect_breakage,2.4883,1gb_5d,14.99,0.5,2.84,12.15
andorra,Andorra,weconnect_breakage,2.4883,1gb_5d,14.99,0.75,3.47,11.52
andorra,Andorra,weconnect_breakage,2.4883,1gb_5d,14.99,1.0,4.09,10.9
andorra,Andorra,weconnect_breakage,2.4883,3gb_7d,19.99,0.25,3.47,16.52
andorra,Andorra,weconnect_breakage,2.4883,3gb_7d,19.99,0.5,5.33,14.66
andorra,Andorra,weconnect_breakage,2.4883,3gb_7d,19.99,0.75,7.2,12.79
andorra,Andorra,weconnect_breakage,2.4883,3gb_7d,19.99,1.0,9.06,10.93
andorra,Andorra,weconnect_breakage,2.4883,10gb_15d,29.99,0.25,7.82,22.17
andorra,Andorra,weconnect_breakage,2.4883,10gb_15d,29.99,0.5,14.04,15.95
andorra,Andorra,weconnect_breakage,2.4883,10gb_15d,29.99,0.75,20.26,9.73
andorra,Andorra,weconnect_breakage,2.4883,10gb_15d,29.99,1.0,26.48,3.51
angola,Angola,catalog_cascade,124.0013,1gb_5d,14.99,0.25,32.6,-17.61
angola,Angola,catalog_cascade,124.0013,1gb_5d,14.99,0.5,63.6,-48.61
angola,Angola,catalog_cascade,124.0013,1gb_5d,14.99,0.75,94.6,-79.61
angola,Angola,catalog_cascade,124.0013,1gb_5d,14.99,1.0,125.6,-110.61
angola,Angola,catalog_cascade,124.0013,3gb_7d,19.99,0.25,94.6,-74.61
angola,Angola,catalog_cascade,124.0013,3gb_7d,19.99,0.5,187.6,-167.61
